2010-December,43419,14,14
2011-April,502042,157,157
2011-August,614516,193,193
2011-December,669395,222,222
2011-February,466307,144,144
2011-January,469795,144,144
2011-July,596710,188,188
2011-June,737793,230,230
2011-March,485165,150,150
2011-May,561647,174,174
2011-November,660507,208,208
2011-October,708164,221,221
2011-September,603047,185,185
2012-April,400324,219,219
2012-August,523887,294,294
2012-December,624454,354,483
2012-February,506992,260,260
2012-January,495363,252,252
2012-July,444533,246,246
2012-June,555142,318,318
2012-March,373478,212,212
2012-May,358866,207,207
2012-November,537918,324,324
2012-October,535125,313,313
2012-September,486149,269,269
2013-April,1045860,1564,3979
2013-August,1545910,1898,4848
2013-December,1874128,2133,5520
2013-February,771218,1373,3454
2013-January,857758,627,1677
2013-July,1371595,1796,4673
2013-June,1642948,1948,5025
2013-March,1049732,1631,4087
2013-May,1284456,1719,4400
2013-November,1780688,2036,5224
2013-October,1673261,2073,5304
2013-September,1447324,1832,4616
2014-January,45642,834,1970
